player,team,position,games,goals,assists,points,penalties,pim,plus_minus,shots,toi,goals_per_game,assists_per_game,points_per_game,shots_per_game,toi_per_game
Matthew Kellenberger,SC Rapperswil-Jona Lakers,defender,13,2,1,3,1,2,4,10,7473,0.154,0.077,0.231,0.769,574.85
Jason Akeson,Genève-Servette HC,forwarder,16,0,3,3,0,0,0,9,6690,0.0,0.188,0.188,0.562,418.12
Dario Sidler,EHC Kloten,defender,17,1,2,3,1,2,1,6,10640,0.059,0.118,0.176,0.353,625.88
Andy Andreoff,ZSC Lions,forwarder,19,2,1,3,4,12,-5,37,16691,0.105,0.053,0.158,1.947,878.47
Bastian Guggenheim,SCL Tigers,defender,20,1,2,3,3,6,-7,17,18044,0.05,0.1,0.15,0.85,902.2
Dorian Moret,EV Zug,defender,21,0,3,3,1,2,-1,7,7665,0.0,0.143,0.143,0.333,365.0
Patrick Petrini,SCL Tigers,forwarder,24,2,1,3,3,6,-3,24,14227,0.083,0.042,0.125,1.0,592.79
Robin Nico Antenen,EV Zug,forwarder,28,0,3,3,1,2,1,16,12170,0.0,0.107,0.107,0.571,434.64
Niklas Friman,HC Ajoie,defender,33,1,2,3,1,2,-17,37,33564,0.03,0.061,0.091,1.121,1017.09
Enzo Guebey,HC Davos,defender,37,0,3,3,4,10,-3,34,26316,0.0,0.081,0.081,0.919,711.24
Loris Wey,EV Zug,forwarder,44,1,2,3,1,2,1,14,18232,0.023,0.045,0.068,0.318,414.36
Basile Sansonnens,Lausanne HC,defender,52,0,3,3,4,31,-6,26,34400,0.0,0.058,0.058,0.5,661.54
Simon Kindschi,SC Bern,defender,54,1,2,3,8,16,-15,43,36458,0.019,0.037,0.056,0.796,675.15
Yannik Boppart,Fribourg-Gottéron,forwarder,3,2,0,2,0,0,2,3,735,0.667,0.0,0.667,1.0,245.0
Andrin Flütsch,SCRJ Lakers,defender,4,1,1,2,0,0,1,2,1893,0.25,0.25,0.5,0.5,473.25
Juuso Arola,Fribourg-Gottéron,defender,4,0,2,2,0,0,4,3,4047,0.0,0.5,0.5,0.75,1011.75
Alessandro Segafredo,ZSC Lions,forwarder,8,1,1,2,0,0,0,2,1971,0.125,0.125,0.25,0.25,246.38
Livio Truog,EV Zug,forwarder,10,0,2,2,0,0,-2,10,6763,0.0,0.2,0.2,1.0,676.3
Thomas Thiry,HC Ajoie,defender,13,1,1,2,2,6,-5,12,9250,0.077,0.077,0.154,0.923,711.54
Mauro Dufner,SC Rapperswil-Jona Lakers,defender,17,0,2,2,4,31,1,18,14976,0.0,0.118,0.118,1.059,880.94
Nicolas Müller,EHC Biel-Bienne,forwarder,18,2,0,2,6,12,0,14,12848,0.111,0.0,0.111,0.778,713.78
