season,round,round_index,team,elo
2025-26,26,26,Steinbach Black Wings Linz,1507.96
2025-26,26,26,Vienna Capitals,1434.64
2025-26,27,27,EC Red Bull Salzburg,1506.47
2025-26,27,27,EC iDM Wärmepumpen VSV,1501.89
2025-26,27,27,EC-KAC,1582.36
2025-26,27,27,FTC-Telekom,1478.76
2025-26,27,27,HC Falkensteiner Pustertal,1532.1
2025-26,27,27,HC TIWAG Innsbruck - Die Haie,1389.37
2025-26,27,27,HCB Südtirol Alperia,1531.32
2025-26,27,27,Hydro Fehervar AV 19,1485.0
2025-26,27,27,Moser Medical Graz99ers,1589.82
2025-26,27,27,Olimpija Ljubljana,1573.74
2025-26,27,27,Pioneers Vorarlberg,1383.46
2025-26,27,27,Steinbach Black Wings Linz,1493.71
2025-26,27,27,Vienna Capitals,1452.0
2025-26,28,28,EC Red Bull Salzburg,1515.52
2025-26,28,28,EC iDM Wärmepumpen VSV,1501.89
2025-26,28,28,EC-KAC,1572.58
2025-26,28,28,FTC-Telekom,1469.64
2025-26,28,28,HC Falkensteiner Pustertal,1521.0
2025-26,28,28,HC TIWAG Innsbruck - Die Haie,1384.16
2025-26,28,28,HCB Südtirol Alperia,1540.43
2025-26,28,28,Hydro Fehervar AV 19,1467.98
2025-26,28,28,Moser Medical Graz99ers,1599.6
2025-26,28,28,Olimpija Ljubljana,1578.95
2025-26,28,28,Pioneers Vorarlberg,1400.47
2025-26,28,28,Steinbach Black Wings Linz,1504.81
2025-26,28,28,Vienna Capitals,1442.94
2025-26,18,18,EC Red Bull Salzburg,1525.13
2025-26,18,18,EC iDM Wärmepumpen VSV,1492.29
2025-26,18,18,EC-KAC,1572.58
2025-26,18,18,FTC-Telekom,1469.64
2025-26,18,18,HC Falkensteiner Pustertal,1521.0
2025-26,18,18,HC TIWAG Innsbruck - Die Haie,1384.16
2025-26,18,18,HCB Südtirol Alperia,1540.43
2025-26,18,18,Hydro Fehervar AV 19,1467.98
2025-26,18,18,Moser Medical Graz99ers,1599.6
2025-26,18,18,Olimpija Ljubljana,1578.95
2025-26,18,18,Pioneers Vorarlberg,1400.47
2025-26,18,18,Steinbach Black Wings Linz,1504.81
2025-26,18,18,Vienna Capitals,1442.94
2025-26,29,29,EC Red Bull Salzburg,1538.04
2025-26,29,29,EC iDM Wärmepumpen VSV,1492.29
2025-26,29,29,EC-KAC,1581.94
2025-26,29,29,FTC-Telekom,1458.88
2025-26,29,29,HC Falkensteiner Pustertal,1531.55
2025-26,29,29,HC TIWAG Innsbruck - Die Haie,1373.61
2025-26,29,29,HCB Südtirol Alperia,1552.68
2025-26,29,29,Hydro Fehervar AV 19,1458.62
2025-26,29,29,Moser Medical Graz99ers,1589.01
2025-26,29,29,Olimpija Ljubljana,1589.55
2025-26,29,29,Pioneers Vorarlberg,1387.57
2025-26,29,29,Steinbach Black Wings Linz,1492.56
2025-26,29,29,Vienna Capitals,1453.71
2025-26,30,30,EC Red Bull Salzburg,1546.73
2025-26,30,30,EC iDM Wärmepumpen VSV,1481.33
2025-26,30,30,EC-KAC,1588.21
2025-26,30,30,FTC-Telekom,1469.84
2025-26,30,30,HC Falkensteiner Pustertal,1547.29
2025-26,30,30,HC TIWAG Innsbruck - Die Haie,1373.61
2025-26,30,30,HCB Südtirol Alperia,1535.74
2025-26,30,30,Hydro Fehervar AV 19,1451.97
2025-26,30,30,Moser Medical Graz99ers,1595.66
2025-26,30,30,Olimpija Ljubljana,1573.81
2025-26,30,30,Pioneers Vorarlberg,1381.29
2025-26,30,30,Steinbach Black Wings Linz,1483.86
2025-26,30,30,Vienna Capitals,1470.66
2025-26,31,31,EC Red Bull Salzburg,1562.19
2025-26,31,31,EC iDM Wärmepumpen VSV,1464.14
2025-26,31,31,EC-KAC,1599.64
2025-26,31,31,FTC-Telekom,1458.41
2025-26,31,31,HC Falkensteiner Pustertal,1535.12
2025-26,31,31,HC TIWAG Innsbruck - Die Haie,1390.8
2025-26,31,31,HCB Südtirol Alperia,1535.74
2025-26,31,31,Hydro Fehervar AV 19,1463.79
2025-26,31,31,Moser Medical Graz99ers,1580.2
2025-26,31,31,Olimpija Ljubljana,1554.64
2025-26,31,31,Pioneers Vorarlberg,1400.46
2025-26,31,31,Steinbach Black Wings Linz,1472.04
2025-26,31,31,Vienna Capitals,1482.83
2025-26,32,32,EC Red Bull Salzburg,1567.85
2025-26,32,32,EC iDM Wärmepumpen VSV,1455.93
2025-26,32,32,EC-KAC,1607.85
2025-26,32,32,FTC-Telekom,1458.41
2025-26,32,32,HC Falkensteiner Pustertal,1546.2
2025-26,32,32,HC TIWAG Innsbruck - Die Haie,1379.72
2025-26,32,32,HCB Südtirol Alperia,1550.23
2025-26,32,32,Hydro Fehervar AV 19,1474.33
2025-26,32,32,Moser Medical Graz99ers,1587.19
2025-26,32,32,Olimpija Ljubljana,1540.15
2025-26,32,32,Pioneers Vorarlberg,1394.81
2025-26,32,32,Steinbach Black Wings Linz,1465.06
2025-26,32,32,Vienna Capitals,1472.28
2025-26,33,33,EC Red Bull Salzburg,1578.5
2025-26,33,33,EC iDM Wärmepumpen VSV,1446.16
2025-26,33,33,EC-KAC,1614.35
2025-26,33,33,FTC-Telekom,1447.76
2025-26,33,33,HC Falkensteiner Pustertal,1534.19
2025-26,33,33,HC TIWAG Innsbruck - Die Haie,1369.58
2025-26,33,33,HCB Südtirol Alperia,1560.0
2025-26,33,33,Hydro Fehervar AV 19,1460.19
2025-26,33,33,Moser Medical Graz99ers,1599.2
2025-26,33,33,Olimpija Ljubljana,1554.29
2025-26,33,33,Pioneers Vorarlberg,1394.81
2025-26,33,33,Steinbach Black Wings Linz,1475.19
2025-26,33,33,Vienna Capitals,1465.78
2025-26,34,34,EC Red Bull Salzburg,1585.3
2025-26,34,34,EC iDM Wärmepumpen VSV,1438.56
2025-26,34,34,EC-KAC,1602.64
2025-26,34,34,FTC-Telekom,1438.27
2025-26,34,34,HC Falkensteiner Pustertal,1534.19
2025-26,34,34,HC TIWAG Innsbruck - Die Haie,1362.79
2025-26,34,34,HCB Südtirol Alperia,1569.29
2025-26,34,34,Hydro Fehervar AV 19,1440.43
2025-26,34,34,Moser Medical Graz99ers,1606.79
2025-26,34,34,Olimpija Ljubljana,1566.0
2025-26,34,34,Pioneers Vorarlberg,1385.52
2025-26,34,34,Steinbach Black Wings Linz,1494.95
2025-26,34,34,Vienna Capitals,1475.26
2025-26,35,35,EC Red Bull Salzburg,1596.82
2025-26,35,35,EC iDM Wärmepumpen VSV,1450.78
2025-26,35,35,EC-KAC,1591.68
2025-26,35,35,FTC-Telekom,1429.13
2025-26,35,35,HC Falkensteiner Pustertal,1520.15
2025-26,35,35,HC TIWAG Innsbruck - Die Haie,1350.58
2025-26,35,35,HCB Südtirol Alperia,1580.25
2025-26,35,35,Hydro Fehervar AV 19,1440.43
2025-26,35,35,Moser Medical Graz99ers,1615.94
2025-26,35,35,Olimpija Ljubljana,1553.45
