player,team,goals,assists,points,penalties,pim
Kickert David,EC Red Bull Salzburg,0,1,1,0,0
Kirchebner Maximilian,EC Red Bull Salzburg,0,1,1,0,0
Kolin Luka,Olimpija Ljubljana,0,1,1,0,0
Lam Oliver,EC-KAC,0,1,1,0,0
Reijola Rasmus,Hydro Fehervar AV 19,0,1,1,0,0
Wieser Nicolas,Moser Medical Graz99ers,0,1,1,0,0
Wraneschitz Sebastian,Vienna Capitals,0,1,1,0,0
Mader Matthias,Pioneers Vorarlberg,0,0,0,3,6
Tschurnig Johannes,EC iDM Wärmepumpen VSV,0,0,0,3,6
Böhm Mathias,EC Red Bull Salzburg,0,0,0,2,4
Falus Adam,Hydro Fehervar AV 19,0,0,0,2,4
Krainz Clemens,Moser Medical Graz99ers,0,0,0,2,4
Tolvanen Atte,EC Red Bull Salzburg,0,0,0,2,4
Aarnio Aatu,Pioneers Vorarlberg,0,0,0,1,2
Böhs Gerrit,EC-KAC,0,0,0,1,2
Craighead Darien,HC TIWAG Innsbruck - Die Haie,0,0,0,1,2
Farkas Boldizsár,FTC-Telekom,0,0,0,1,2
Kirchschläger Erik,Vienna Capitals,0,0,0,1,2
Lagacé Maxime,Moser Medical Graz99ers,0,0,0,1,2
Madlener David,Pioneers Vorarlberg,0,0,0,1,2
Matt Aaron,HC TIWAG Innsbruck - Die Haie,0,0,0,1,2
Mußbacher Mark,Pioneers Vorarlberg,0,0,0,1,2
Nitz Gabriel,HC Falkensteiner Pustertal,0,0,0,1,2
Rebernig Alexander,EC Red Bull Salzburg,0,0,0,1,2
Schlekmann Márk,FTC-Telekom,0,0,0,1,2
Schnetzer Ramon,Vienna Capitals,0,0,0,1,2
Summer Ben,Pioneers Vorarlberg,0,0,0,1,2
Tirronen Rasmus,Steinbach Black Wings Linz,0,0,0,1,2
Tokarski Dustin,Olimpija Ljubljana,0,0,0,1,2
Vernon Matthew,HC TIWAG Innsbruck - Die Haie,0,0,0,1,2
Arany Gergely,FTC-Telekom,0,0,0,0,0
Balizs Bence,FTC-Telekom,0,0,0,0,0
Baumann Fabian,EC Red Bull Salzburg,0,0,0,0,0
Brandner Jakob,HC TIWAG Innsbruck - Die Haie,0,0,0,0,0
Cowley Evan,Vienna Capitals,0,0,0,0,0
Csibi David,Hydro Fehervar AV 19,0,0,0,0,0
Djuric Leandro,Steinbach Black Wings Linz,0,0,0,0,0
Engelhart Lukas Paul,Moser Medical Graz99ers,0,0,0,0,0
Erlacher Alexander,HC TIWAG Innsbruck - Die Haie,0,0,0,0,0
Fassmann Lukas,Moser Medical Graz99ers,0,0,0,0,0
Foppa Laurin,HCB Südtirol Alperia,0,0,0,0,0
Gamper Christian,HCB Südtirol Alperia,0,0,0,0,0
Geifes Tim,Steinbach Black Wings Linz,0,0,0,0,0
Gennaro Matteo Vittorio J,HCB Südtirol Alperia,0,0,0,0,0
Gibson Christopher,HCB Südtirol Alperia,0,0,0,0,0
Grascher Patrick,Moser Medical Graz99ers,0,0,0,0,0
Gratzer Markus,HC TIWAG Innsbruck - Die Haie,0,0,0,0,0
Gschliesser Fabian,HC Falkensteiner Pustertal,0,0,0,0,0
Hebar Gal,Olimpija Ljubljana,0,0,0,0,0
Hebar Tian,Olimpija Ljubljana,0,0,0,0,0
Hegedüs Levente,Hydro Fehervar AV 19,0,0,0,0,0
Horvath Dominik,Hydro Fehervar AV 19,0,0,0,0,0
Höneckl Thomas,Steinbach Black Wings Linz,0,0,0,0,0
Jurkovics Bence,FTC-Telekom,0,0,0,0,0
