game_id,season_id,date,home_team,away_team,score,round,venue,spectators,away_pim,away_pp_pct,away_pp_time,away_save_pct,away_saves,away_score,away_shots,away_team_short,home_pim,home_pp_pct,home_pp_time,home_save_pct,home_saves,home_score,home_shots,home_team_short,periods,periods_detail
1004476,18263,2025-10-11 15:15,Frölunda HC,Rögle BK,4-1,,Scandinavium,12044,6,"0,00%",07:07,"3,23",17,1,31,RBK,8,"33,33%",04:38,"19,05",30,4,21,FRÖ,"(2-1, 1-0, 1-0)","2-1, 1-0, 1-0"
1004477,18263,2025-10-11 15:15,Leksands IF,Djurgårdens IF,2-3,,Tegera Arena,7650,12,"50,00%",02:47,"17,65",26,3,17,DIF,8,"0,00%",07:12,"7,14",14,2,28,LIF,"(2-0, 0-2, 0-1)","2-0, 0-2, 0-1"
1004480,18263,2025-10-11 15:15,Luleå HF,Växjö Lakers HC,5-2,,Coop Norrbotten Arena,6150,8,"0,00%",02:00,"6,67",19,2,30,VÄX,4,"33,33%",04:14,"20,83",28,5,24,LHF,"(0-0, 2-0, 3-2)","0-0, 2-0, 3-2"
1004481,18263,2025-10-11 15:15,IF Malmö Redhawks,Timrå IK,1-2,,Malmö Arena,6176,8,"0,00%",02:00,"9,52",31,2,21,TIK,4,"33,33%",05:49,"3,12",19,1,32,MIF,"(1-0, 0-1, 0-1)","1-0, 0-1, 0-1"
1004482,18263,2025-10-11 18:00,Brynäs IF,Linköping HC,4-7,,Monitor ERP Arena,7680,6,"66,67%",02:14,"31,82",28,7,22,LHC,8,"50,00%",02:58,"12,50",15,4,32,BIF,"(1-2, 2-2, 1-3)","1-2, 2-2, 1-3"
1004484,18263,2025-10-11 18:00,Färjestad BK,Örebro HK,2-1,,Löfbergs Arena,7504,24,,,"4,55",28,1,22,ÖHK,0,,,"6,67",21,2,30,FBK,"(0-1, 0-0, 2-0)","0-1, 0-0, 2-0"
1004486,18263,2025-10-11 18:00,SKE,HV71,8-3,,Skellefteå Kraft Arena,5158,10,"0,00%",03:39,"20,00",22,3,15,HV71,8,"66,67%",05:16,"26,67",12,8,30,SKE,"(1-1, 5-2, 2-0)","1-1, 5-2, 2-0"
1004492,18263,2025-10-16 19:00,Brynäs IF,Leksands IF,3-2,,Monitor ERP Arena,7909,46,"20,00%",05:06,"10,00",28,2,20,LIF,16,"0,00%",06:21,"9,68",18,3,31,BIF,"(1-0, 1-1, 1-1)","1-0, 1-1, 1-1"
1004495,18263,2025-10-16 19:00,Färjestad BK,Luleå HF,3-6,,Löfbergs Arena,6321,6,"16,67%",11:40,"30,00",20,6,20,LHF,33,"33,33%",05:07,"13,04",14,3,23,FBK,"(1-0, 2-5, 0-1)","1-0, 2-5, 0-1"
1004496,18263,2025-10-16 19:00,,Djurgårdens IF,7-3,,Husqvarna Garden,6800,10,"100,00%",00:36,"11,54",24,3,26,DIF,2,"60,00%",04:43,"22,58",23,7,31,HV71,"(0-0, 4-2, 3-1)","0-0, 4-2, 3-1"
1004497,18263,2025-10-16 19:00,IF Malmö Redhawks,Rögle BK,2-3,,Malmö Arena,12600,16,"0,00%",04:00,"8,82",18,3,34,RBK,8,"33,33%",08:19,"10,00",31,2,20,MIF,"(1-0, 0-2, 1-1)","1-0, 0-2, 1-1"
1004498,18263,2025-10-16 19:00,Örebro HK,Linköping HC,4-3,,Behrn Arena,5198,8,"50,00%",04:37,"12,00",37,3,25,LHC,10,"0,00%",04:11,"9,76",22,4,41,ÖHK,"(0-2, 2-1, 1-0, 0-0, 1-0)","0-2, 2-1, 1-0, 0-0, 1-0"
1004499,18263,2025-10-16 19:00,Timrå IK,Skellefteå AIK,2-1,,SCA Arena,5210,8,"33,33%",06:00,"4,17",21,1,24,SKE,8,"33,33%",04:32,"8,70",23,2,23,TIK,"(0-1, 1-0, 0-0, 1-0)","0-1, 1-0, 0-0, 1-0"
1004505,18263,2025-10-18 15:15,Frölunda HC,Timrå IK,3-1,,Scandinavium,11890,10,"0,00%",03:11,"3,33",18,1,30,TIK,10,"50,00%",03:32,"14,29",29,3,21,FRÖ,"(2-0, 1-1, 0-0)","2-0, 1-1, 0-0"
