team,player,goals,assists,points,penalties,pim
SKE,"Bergqvist, Rasmus",0.0,4.0,4.0,9.0,18.0
BIF,"Bertilsson, Simon",0.0,4.0,4.0,3.0,6.0
FBK,"Leivermann, Nick",0.0,4.0,4.0,3.0,6.0
TIK,"Pilö, Lukas",0.0,4.0,4.0,3.0,6.0
VÄX,"Giuttari, Zachary",0.0,4.0,4.0,2.0,4.0
HV,"Reber, Jamiro",3.0,0.0,3.0,2.0,4.0
FRÖ,"Hasa, Filip",2.0,1.0,3.0,8.0,16.0
HV,"Levin, Eddie",1.0,2.0,3.0,0.0,0.0
MIF,"Schreiber, Martin",0.0,3.0,3.0,13.0,47.0
LHF,"Engsund, Oscar",0.0,3.0,3.0,12.0,45.0
HV,"Gustafsson, Malte",0.0,3.0,3.0,2.0,4.0
MIF,"Pedrotti, Elia",0.0,3.0,3.0,2.0,4.0
FRÖ,"Born, Isac",0.0,3.0,3.0,1.0,2.0
BIF,"Djoos, Christian",0.0,3.0,3.0,1.0,2.0
LIF,"Johansson, Victor",0.0,3.0,3.0,1.0,2.0
DIF,"Berg, August",2.0,0.0,2.0,3.0,6.0
LHF,"Ihs-Wozniak, Jakob",2.0,0.0,2.0,1.0,2.0
DIF,"Blixt, Hugo",1.0,1.0,2.0,8.0,34.0
HV,"Brännström, Isac",1.0,1.0,2.0,2.0,25.0
LHC,"Krantz, Loke",1.0,1.0,2.0,8.0,16.0
RBK,"Biber, Gregor",1.0,1.0,2.0,6.0,12.0
FBK,"Fransén, Noel",1.0,1.0,2.0,3.0,6.0
TIK,"Boyce-Rotevall, Jeremy",1.0,1.0,2.0,1.0,2.0
VÄX,"Koivula, Otto",1.0,1.0,2.0,1.0,2.0
FBK,"Tornberg, August",1.0,1.0,2.0,1.0,2.0
HV,"Laz, Victor",1.0,1.0,2.0,0.0,0.0
BIF,"Witkowski, Luke",0.0,2.0,2.0,5.0,10.0
LHF,"Håkansson, William",0.0,2.0,2.0,4.0,8.0
LHC,"Johnsson, Johan",0.0,2.0,2.0,4.0,8.0
MIF,"Carell, Felix",0.0,2.0,2.0,2.0,4.0
ÖHK,"Nilsson, Niklas",0.0,2.0,2.0,2.0,4.0
TIK,"Pääjärvi, Magnus",0.0,2.0,2.0,2.0,4.0
ÖHK,"Vainio, Juuso",0.0,2.0,2.0,2.0,4.0
LHF,"Ward, Matteus",0.0,2.0,2.0,2.0,4.0
ÖHK,"Danielsson, Liam",0.0,2.0,2.0,1.0,2.0
DIF,"Hellberg, Magnus",0.0,2.0,2.0,1.0,2.0
VÄX,"Persson, Ludvig",0.0,2.0,2.0,1.0,2.0
VÄX,"Åhman, Adam",0.0,2.0,2.0,1.0,2.0
LHF,"Emanuelsson, Einar",0.0,2.0,2.0,0.0,0.0
SKE,"Laz, Victor",0.0,2.0,2.0,0.0,0.0
ÖHK,"Sjödin, Svante",0.0,2.0,2.0,0.0,0.0
LHC,"Hofbauer, Adam",1.0,0.0,1.0,4.0,8.0
MIF,"Hemström, Kalle",1.0,0.0,1.0,3.0,6.0
RBK,"Jarbsjö, Marwin",1.0,0.0,1.0,1.0,2.0
DIF,"Brodin, Daniel",1.0,0.0,1.0,0.0,0.0
SKE,"Klingsell, Viktor",1.0,0.0,1.0,0.0,0.0
FBK,"Larmi, Emil",0.0,1.0,1.0,5.0,28.0
MIF,"Ivarsson, Johan",0.0,1.0,1.0,11.0,25.0
DIF,"Costmar, Arvid",0.0,1.0,1.0,6.0,12.0
LIF,"Langvardt, Rocky",0.0,1.0,1.0,4.0,8.0
DIF,"Stockselius, Theo",0.0,1.0,1.0,3.0,6.0
LHC,"Öhrqvist, Felix",0.0,1.0,1.0,3.0,6.0
MIF,"Born, Isac",0.0,1.0,1.0,2.0,4.0
DIF,"Klasen, Linus",0.0,1.0,1.0,2.0,4.0
FRÖ,"Meier, Gian",0.0,1.0,1.0,2.0,4.0
SKE,"Forsfjäll, Måns",0.0,1.0,1.0,1.0,2.0
ÖHK,"Hallquisth, Theodor",0.0,1.0,1.0,1.0,2.0
MIF,"Langhamer, Marek",0.0,1.0,1.0,1.0,2.0
HV,"Magnertoft, Wille",0.0,1.0,1.0,1.0,2.0
SKE,"Mann, Strauss",0.0,1.0,1.0,1.0,2.0
DIF,"Nordmark, Marcus",0.0,1.0,1.0,1.0,2.0
HV,"Davidsson, Oscar",0.0,1.0,1.0,0.0,0.0
BIF,"Delia, Collin",0.0,1.0,1.0,0.0,0.0
ÖHK,"Enroth, Jhonas",0.0,1.0,1.0,0.0,0.0
LIF,"Hellsten, Jakob",0.0,1.0,1.0,0.0,0.0
BIF,"Hillström, Gustav",0.0,1.0,1.0,0.0,0.0
RBK,"Holm, Arvid",0.0,1.0,1.0,0.0,0.0
TIK,"Johansson, Jacob",0.0,1.0,1.0,0.0,0.0
TIK,"Juel, Tim",0.0,1.0,1.0,0.0,0.0
BIF,"Källgren, Erik",0.0,1.0,1.0,0.0,0.0
LHC,"Nilsson, Melvin",0.0,1.0,1.0,0.0,0.0
FRÖ,"Normann, Tobias",0.0,1.0,1.0,0.0,0.0
RBK,"Rifalk, Christoffer",0.0,1.0,1.0,0.0,0.0
DIF,"Wiå, William",0.0,1.0,1.0,0.0,0.0
LHC,"Norén, Erik",0.0,0.0,0.0,9.0,18.0
MIF,"Eisenmenger, Maximilian",0.0,0.0,0.0,4.0,8.0
LHF,"Kotkansalo, Kasper",0.0,0.0,0.0,3.0,6.0
SKE,"Lundberg, Martin",0.0,0.0,0.0,3.0,6.0
HV,"Annborn, Karl",0.0,0.0,0.0,2.0,4.0
MIF,"Berger, Joseph",0.0,0.0,0.0,2.0,4.0
BIF,"Dahlqvist, Aron",0.0,0.0,0.0,2.0,4.0
FRÖ,"Johansson, Lars",0.0,0.0,0.0,2.0,4.0
BIF,"Raftheim Hedin, Victor",0.0,0.0,0.0,2.0,4.0
FBK,"Johansson, Wille",0.0,0.0,0.0,1.0,2.0
VÄX,"Karlsson, Olle",0.0,0.0,0.0,1.0,2.0
LHC,"Lawner, Oscar",0.0,0.0,0.0,1.0,2.0
LIF,"Lissel, August",0.0,0.0,0.0,1.0,2.0
LHC,"Myrenberg, Jesper",0.0,0.0,0.0,1.0,2.0
HV,"Skarby, Noel",0.0,0.0,0.0,1.0,2.0
DIF,"Solem, Samuel",0.0,0.0,0.0,1.0,2.0
BIF,"Sundqvist, Leo",0.0,0.0,0.0,1.0,2.0
FRÖ,"Wahlberg, Oskar",0.0,0.0,0.0,1.0,2.0
FRÖ,"Westergård, Max",0.0,0.0,0.0,1.0,2.0
