player,team,goals,assists,penalties,pim,points
DRGOŇ Adam,HK Dukla Trenčín,1.0,7.0,0.0,0.0,8.0
ULLMAN Erik Mikael,HK Dukla Trenčín,1.0,7.0,0.0,0.0,8.0
GOLIAN Andrej,HKM Zvolen,0.0,8.0,0.0,0.0,8.0
LESKINEN Ville Elmeri,HK Dukla Trenčín,6.0,1.0,0.0,0.0,7.0
ONDRUŠEK Richard,HC MONACObet B.Bystrica,5.0,2.0,0.0,0.0,7.0
CARMICHAEL Elias,HK Nitra,4.0,3.0,0.0,0.0,7.0
ALIŠAUSKAS Nerijus,HK Spišská Nová Ves,2.0,5.0,0.0,0.0,7.0
FABUŠ Andrej,Slovan Bratislava,2.0,5.0,0.0,0.0,7.0
JUŠČÁK Michal,Vlci Žilina,2.0,5.0,0.0,0.0,7.0
KALMAN Adam,HK Nitra,2.0,5.0,0.0,0.0,7.0
KOVÁČ Hugo,HK Nitra,2.0,5.0,0.0,0.0,7.0
WILL Logan August,HK Spišská Nová Ves,2.0,5.0,0.0,0.0,7.0
BAJTEK Filip,HK Nitra,1.0,6.0,0.0,0.0,7.0
BREJČÁK Daniel,HKM Zvolen,1.0,6.0,0.0,0.0,7.0
HATALA Andrej,HK Dukla Trenčín,1.0,6.0,0.0,0.0,7.0
POBEŽAL Jakub,Vlci Žilina,1.0,6.0,0.0,0.0,7.0
KOHÚT Dávid,HC Košice,4.0,2.0,0.0,0.0,6.0
SUJA Jakub,HC Prešov,3.0,3.0,0.0,0.0,6.0
TOMKA Lukáš,HC MONACObet B.Bystrica,3.0,3.0,0.0,0.0,6.0
HLAVÁČ Matúš,HK Dukla Trenčín,2.0,4.0,0.0,0.0,6.0
JOSLING Sean,HK Dukla Trenčín,2.0,4.0,0.0,0.0,6.0
PIŠOJA Milan,HKM Zvolen,2.0,4.0,0.0,0.0,6.0
ROCKWOOD Adam,HK Spišská Nová Ves,2.0,4.0,0.0,0.0,6.0
BÍLY Alex Róbert,HK 32 Liptovský Mikuláš,1.0,5.0,0.0,0.0,6.0
MAIER Patrik,Slovan Bratislava,0.0,6.0,0.0,0.0,6.0
NILSSON LINDELÖF Erik Alexander,HK Dukla Michalovce,0.0,6.0,0.0,0.0,6.0
HAMRÁČEK Lukáš,HC Prešov,4.0,1.0,0.0,0.0,5.0
ZABUSOVS Patriks,HC Prešov,4.0,1.0,0.0,0.0,5.0
HRABČÁK Samuel,HK Dukla Michalovce,3.0,2.0,0.0,0.0,5.0
