match_id,date,round,venue,attendance,home_team,away_team,score,home_goals,away_goals,periods,goal_count,penalty_count,goalie_change_count,unclassified_event_count,url,error
153245,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HC Košice s.r.o.,4 : 3 pp,4,3,0:0 | 1:3 | 2:0 | 1:0,7,11,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153245/Overview,
153246,,,,,Hokejový klub Poprad a.s.,"VLCI ŽILINA, a.s.",4 : 3,4,3,0:2 | 2:1 | 2:0,7,10,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153246/Overview,
153247,,,,,Hokejový klub Dukla Ingema Michalovce,"HK Nitra, s.r.o.",4 : 2,4,2,0:0 | 1:0 | 3:2,6,8,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153247/Overview,
153248,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HC SLOVAN Bratislava, a.s.",1 : 2,1,2,0:1 | 0:0 | 1:1,3,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153248/Overview,
153249,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HC Košice s.r.o.,3 : 2 sn,3,2,1:2 | 0:0 | 1:0 | 0:0,5,14,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153249/Overview,
153250,,,,,Hokejový klub Poprad a.s.,"VLCI ŽILINA, a.s.",2 : 1 pp,2,1,0:0 | 1:1 | 0:0 | 1:0,3,15,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153250/Overview,
153251,,,,,Hokejový klub Dukla Ingema Michalovce,"HK Nitra, s.r.o.",2 : 3,2,3,0:2 | 1:0 | 1:1,5,7,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153251/Overview,
153252,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HC SLOVAN Bratislava, a.s.",2 : 3,2,3,1:1 | 1:2 | 0:0,5,6,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153252/Overview,
153253,,,,,HC Košice s.r.o.,"HC ‘05 BANSKÁ BYSTRICA, a.s.",17:30,17,30,,0,0,0,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153253/Overview,
153254,,,,,"VLCI ŽILINA, a.s.",Hokejový klub Poprad a.s.,17:30,17,30,,0,0,0,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153254/Overview,
153255,,,,,"HK Nitra, s.r.o.",Hokejový klub Dukla Ingema Michalovce,18:00,18,0,,0,0,0,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153255/Overview,
