player,team,goals,assists,points,penalties,pim
Julius Honka,SC Rapperswil-Jona Lakers,2,5,7,1,2
Zaccheo Dotti,HC Ambri-Piotta,1,6,7,11,47
Nathan Vouardoux,Lausanne HC,1,6,7,11,24
Dario Trutmann,ZSC Lions,1,6,7,6,12
Robin Grossmann,EHC Biel-Bienne,1,6,7,5,12
Bernd Wolf,EHC Kloten,1,6,7,5,10
Jan Schwendeler,ZSC Lions,1,6,7,3,6
Nils Rhyn,SC Bern,0,7,7,6,12
Yanik Burren,EHC Biel-Bienne,0,7,7,5,10
Isacco Dotti,HC Ambri-Piotta,4,2,6,8,16
Lukas Landry,HC Ambri-Piotta,4,2,6,4,12
Floran Douay,Lausanne HC,3,3,6,9,45
Yanick Sablatnig,EHC Biel-Bienne,3,3,6,12,30
Diego Kostner,HC Ambri-Piotta,3,3,6,5,14
Jesse Graham,EV Zug,3,3,6,4,13
Juho Lammikko,ZSC Lions,3,3,6,3,6
Michael Hügli,Lausanne HC,2,4,6,4,33
Nicholas Steiner,EHC Kloten,2,4,6,11,26
Tim Mathys,SCL Tigers,2,4,6,8,16
Jannik Fischer,HC Ajoie,1,5,6,10,46
Luca Capaul,SCRJ Lakers,1,5,6,9,20
Steve Kellenberger,EHC Kloten,1,5,6,5,10
Patrick Geering,ZSC Lions,1,5,6,4,8
Anton Lindholm,SC Bern,0,6,6,7,21
Samuel Guerra,EV Zug,0,6,6,5,12
Lawrence Pilut,SCRJ Lakers,0,6,6,3,6
Marlon Graf,SCRJ Lakers,4,1,5,11,32
Nolan Diem,EHC Kloten,3,2,5,5,12
Johan Sundström,ZSC Lions,3,2,5,1,2
Mauro Dufner,SCRJ Lakers,2,3,5,4,33
Sven Leuenberger,EV Zug,2,3,5,6,12
Nico Dünner,SC Rapperswil-Jona Lakers,2,3,5,2,6
Arno Nussbaumer,HC Ajoie,2,3,5,2,4
Harrison Luc Schreiber,EHC Kloten,2,3,5,2,4
Rasmus Kupari,HC Lugano,2,3,5,2,4
Joel Henry,EHC Kloten,2,3,5,1,2
Nathan Borradori,HC Ambri-Piotta,2,3,5,1,2
Thierry Schild,SC Bern,1,4,5,3,24
Daniele Grassi,HC Ambri-Piotta,1,4,5,5,22
Nico Gross,HC Davos,1,4,5,10,20
Kevin Fey,HC Ajoie,1,4,5,8,18
Simone Terraneo,HC Ambri-Piotta,1,4,5,5,10
Oula Palve,EHC Kloten,1,4,5,3,6
Cal O'Reilly,SCL Tigers,1,4,5,1,2
Lawrence Pilut,SC Rapperswil-Jona Lakers,1,4,5,0,0
Fabian Maier,SCRJ Lakers,0,5,5,9,24
Samuel Kreis,SC Bern,0,5,5,5,10
Julian Parrée,HC Davos,0,5,5,4,8
Fabian Ritzmann,SC Bern,0,5,5,3,6
Christophe Cavalleri,HC Ajoie,3,1,4,4,8
Nicklas Jensen,SC Rapperswil-Jona Lakers,3,1,4,0,0
Niko Huuhtanen,EHC Biel-Bienne,2,2,4,2,29
Eric Schneller,Genève-Servette HC,2,2,4,1,25
Cédric Fiedler,Lausanne HC,2,2,4,9,22
Luca Christen,EHC Biel-Bienne,2,2,4,8,16
Beni Waidacher,HC Davos,2,2,4,1,2
Simon Seiler,Fribourg-Gottéron,1,3,4,13,34
Gaël Christe,HC Ajoie,1,3,4,5,10
Makai Holdener,Lausanne HC,1,3,4,3,6
Nicolas Petan,HC Ambri-Piotta,1,3,4,2,4
Cyrill Henry,HC Lugano,1,3,4,0,0
Nik Lehmann,SCL Tigers,1,3,4,0,0
Jamiro Reber,Fribourg-Gottéron,0,4,4,3,29
Oskari Laaksonen,EHC Biel-Bienne,0,4,4,4,11
Tarmo Reunanen,HC Ajoie,0,4,4,0,0
Andy Andreoff,ZSC Lions,2,1,3,4,12
Patrick Petrini,SCL Tigers,2,1,3,3,6
Yannick-Lennart Albrecht,SC Rapperswil-Jona Lakers,2,1,3,1,4
Sean Malone,SCL Tigers,2,1,3,1,2
Pontus Aberg,EHC Kloten,2,1,3,0,0
Simon Kindschi,SC Bern,1,2,3,8,16
Bastian Guggenheim,SCL Tigers,1,2,3,3,6
Mika Henauer,SC Rapperswil-Jona Lakers,1,2,3,2,6
Curtis Valk,HC Lugano,1,2,3,1,2
Dario Sidler,EHC Kloten,1,2,3,1,2
Jonas Taibel,SC Rapperswil-Jona Lakers,1,2,3,1,2
Loris Wey,EV Zug,1,2,3,1,2
Niklas Friman,HC Ajoie,1,2,3,1,2
Basile Sansonnens,Lausanne HC,0,3,3,4,31
Enzo Guebey,HC Davos,0,3,3,4,10
Matthew Kellenberger,SC Rapperswil-Jona Lakers,0,3,3,3,6
Dorian Moret,EV Zug,0,3,3,1,2
Robin Nico Antenen,EV Zug,0,3,3,1,2
Jason Akeson,Genève-Servette HC,0,3,3,0,0
Nicolas Müller,EHC Biel-Bienne,2,0,2,6,12
Yannik Boppart,Fribourg-Gottéron,2,0,2,0,0
Louis Füllemann,SC Bern,1,1,2,6,12
Claude-C. Paschoud,SCL Tigers,1,1,2,4,8
Nolan Cattin,EHC Biel-Bienne,1,1,2,3,8
Thomas Thiry,HC Ajoie,1,1,2,2,6
Kevin Etter,Fribourg-Gottéron,1,1,2,2,4
Leo Braillard,EHC Biel-Bienne,1,1,2,1,2
Luca Hischier,Genève-Servette HC,1,1,2,1,2
Alessandro Segafredo,ZSC Lions,1,1,2,0,0
Andrin Flütsch,SCRJ Lakers,1,1,2,0,0
Valentin Pilet,HC Ajoie,0,2,2,15,80
Mischa Geisser,EV Zug,0,2,2,3,29
Philippe Maillet,SC Rapperswil-Jona Lakers,0,2,2,1,20
Dominik Schlumpf,EV Zug,0,2,2,6,14
Jérémie Bärtschi,EHC Biel-Bienne,0,2,2,5,10
Emils Veckaktins,HC Ajoie,0,2,2,4,8
Kevin Bozon,HC Ajoie,0,2,2,3,6
Sandro Zangger,SC Rapperswil-Jona Lakers,0,2,2,3,6
Livio Truog,EV Zug,0,2,2,0,0
Jakob Lilja,EV Zug,1,0,1,1,2
Jan Daron,EV Zug,1,0,1,1,2
Kelyan Barry,Lausanne HC,1,0,1,1,2
Daniel Ljunggren,Fribourg-Gottéron,1,0,1,0,0
Jannik Canova,SCL Tigers,1,0,1,0,0
Levin Moser,SC Bern,1,0,1,0,0
Léonardo Fuhrer,Lausanne HC,1,0,1,0,0
Luca Capaul,SC Rapperswil-Jona Lakers,0,1,1,4,12
Marlon Graf,SC Rapperswil-Jona Lakers,0,1,1,6,12
Igor Jelovac,SC Rapperswil-Jona Lakers,0,1,1,3,8
Leandro Hausheer,EHC Kloten,0,1,1,4,8
Nic Balestra,EV Zug,0,1,1,4,8
Mauro Dufner,SC Rapperswil-Jona Lakers,0,1,1,3,6
Valentin Hofer,SC Rapperswil-Jona Lakers,0,1,1,2,4
Florian Schenk,Lausanne HC,0,1,1,1,2
Gael Haas,Lausanne HC,0,1,1,1,2
Harrison Luc Schreiber,ZSC Lions,0,1,1,1,2
Jakob Lee,HC Lugano,0,1,1,1,2
Ryan Spooner,Lausanne HC,0,1,1,1,2
Florian Schenk,SC Bern,0,1,1,0,0
Kimi Körbler,EHC Kloten,0,1,1,0,0
Luca Cunti,ZSC Lions,0,1,1,0,0
Niklas Aebli,HC Davos,0,1,1,0,0
Nino Niedermann,ZSC Lions,0,1,1,0,0
Santiago Näf,EV Zug,0,1,1,0,0
Tim Minder,HC Davos,0,1,1,0,0
Victor Oejdemark,ZSC Lions,0,1,1,0,0
Reto Schmutz,HC Ajoie,0,0,0,3,10
Elvis Schläpfer,HC Ajoie,0,0,0,3,8
Fabian Maier,SC Rapperswil-Jona Lakers,0,0,0,3,8
Joshua Fahrni,SCL Tigers,0,0,0,3,6
Luca Boltshauser,SCL Tigers,0,0,0,3,6
Bastien Pouilly,HC Ajoie,0,0,0,2,4
Gilles Senn,HC Ambri-Piotta,0,0,0,2,4
Jan Hornecker,SCRJ Lakers,0,0,0,2,4
Rocco Pezzullo,HC Ambri-Piotta,0,0,0,2,4
Stéphane Charlin,Genève-Servette HC,0,0,0,2,4
Victor Backman,EHC Kloten,0,0,0,2,4
Alessio Guignard,Fribourg-Gottéron,0,0,0,1,2
Antoine Keller,HC Ajoie,0,0,0,1,2
Cole Cormier,HC Lugano,0,0,0,1,2
Damiano Ciaccio,HC Ajoie,0,0,0,1,2
Daniel Olsson,ZSC Lions,0,0,0,1,2
Daniil Ustinkov,ZSC Lions,0,0,0,1,2
Harri Säteri,EHC Biel-Bienne,0,0,0,1,2
Ivars Punnenovs,SCRJ Lakers,0,0,0,1,2
Julien Rod,Fribourg-Gottéron,0,0,0,1,2
Kevin Pasche,Lausanne HC,0,0,0,1,2
Loic Galley,Fribourg-Gottéron,0,0,0,1,2
Ludovic Waeber,EHC Kloten,0,0,0,1,2
Matteo Wagner,SCL Tigers,0,0,0,1,2
Reto Berra,Fribourg-Gottéron,0,0,0,1,2
Robert Mayer,Genève-Servette HC,0,0,0,1,2
Simon Moser,SC Bern,0,0,0,1,2
Taylor Beck,Genève-Servette HC,0,0,0,1,2
Timo Jenni,SCL Tigers,0,0,0,1,2
Aaron Till Theler,Fribourg-Gottéron,0,0,0,0,0
Adam Reideborn,SC Bern,0,0,0,0,0
Alessio Beglieri,HC Lugano,0,0,0,0,0
Alexandre Pugin,Genève-Servette HC,0,0,0,0,0
Andri Henauer,SC Bern,0,0,0,0,0
Andrin Flütsch,SC Rapperswil-Jona Lakers,0,0,0,0,0
