season,round,round_index,team,elo
2025-26,R 27,27,"Hokejový klub DUKLA Trenčín, a.s.",1479.2
2025-26,R 27,27,Hokejový klub Dukla Ingema Michalovce,1466.73
2025-26,R 27,27,Hokejový klub Poprad a.s.,1520.42
2025-26,R 27,27,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1498.39
2025-26,R 27,27,Presov Hockey a.s.,1395.74
2025-26,R 27,27,"VLCI ŽILINA, a.s.",1523.92
2025-26,R 28,28,HC Košice s.r.o.,1513.34
2025-26,R 28,28,"HC SLOVAN Bratislava, a.s.",1604.92
2025-26,R 28,28,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1500.82
2025-26,R 28,28,"HK Nitra, s.r.o.",1552.43
2025-26,R 28,28,"HK Rysy, s.r.o.",1455.32
2025-26,R 28,28,HKM a.s,1465.17
2025-26,R 28,28,"Hokejový klub DUKLA Trenčín, a.s.",1492.35
2025-26,R 28,28,Hokejový klub Dukla Ingema Michalovce,1447.51
2025-26,R 28,28,Hokejový klub Poprad a.s.,1540.48
2025-26,R 28,28,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1498.39
2025-26,R 28,28,Presov Hockey a.s.,1395.74
2025-26,R 28,28,"VLCI ŽILINA, a.s.",1533.54
2025-26,R 27,27,HC Košice s.r.o.,1513.34
2025-26,R 27,27,"HC SLOVAN Bratislava, a.s.",1604.92
2025-26,R 27,27,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1485.79
2025-26,R 27,27,"HK Nitra, s.r.o.",1552.43
2025-26,R 27,27,"HK Rysy, s.r.o.",1455.32
2025-26,R 27,27,HKM a.s,1480.2
2025-26,R 27,27,"Hokejový klub DUKLA Trenčín, a.s.",1492.35
2025-26,R 27,27,Hokejový klub Dukla Ingema Michalovce,1447.51
2025-26,R 27,27,Hokejový klub Poprad a.s.,1540.48
2025-26,R 27,27,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1498.39
2025-26,R 27,27,Presov Hockey a.s.,1395.74
2025-26,R 27,27,"VLCI ŽILINA, a.s.",1533.54
2025-26,R 28,28,HC Košice s.r.o.,1513.34
2025-26,R 28,28,"HC SLOVAN Bratislava, a.s.",1604.92
2025-26,R 28,28,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1485.79
2025-26,R 28,28,"HK Nitra, s.r.o.",1552.43
2025-26,R 28,28,"HK Rysy, s.r.o.",1455.32
2025-26,R 28,28,HKM a.s,1480.2
2025-26,R 28,28,"Hokejový klub DUKLA Trenčín, a.s.",1492.35
2025-26,R 28,28,Hokejový klub Dukla Ingema Michalovce,1447.51
2025-26,R 28,28,Hokejový klub Poprad a.s.,1540.48
2025-26,R 28,28,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1507.83
2025-26,R 28,28,Presov Hockey a.s.,1386.29
2025-26,R 28,28,"VLCI ŽILINA, a.s.",1533.54
2025-26,R 29,29,HC Košice s.r.o.,1522.27
2025-26,R 29,29,"HC SLOVAN Bratislava, a.s.",1593.42
2025-26,R 29,29,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1495.98
2025-26,R 29,29,"HK Nitra, s.r.o.",1563.93
2025-26,R 29,29,"HK Rysy, s.r.o.",1446.39
2025-26,R 29,29,HKM a.s,1468.73
2025-26,R 29,29,"Hokejový klub DUKLA Trenčín, a.s.",1482.16
