source,league,league_label,game_url,match_date,home_team,away_team,home_score,away_score,status,bookmaker,outcome_type,european_odds,fetched_at
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#zTdPdIkD,2026-03-22,Grizzly Wolfsburg,Schwenninger,2,3,final_ot,OddsPortal Avg,away,2.89,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/nurnberg-ice-tigers-Qifejgys/pinguins-bremerhaven-vRV0SS63#8GqWBbwK,2026-03-20,Nurnberg Ice Tigers,Bremerhaven,2,3,final,OddsPortal Avg,home,2.38,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/nurnberg-ice-tigers-Qifejgys/pinguins-bremerhaven-vRV0SS63#8GqWBbwK,2026-03-20,Nurnberg Ice Tigers,Bremerhaven,2,3,final,OddsPortal Avg,draw,4.40,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/nurnberg-ice-tigers-Qifejgys/pinguins-bremerhaven-vRV0SS63#8GqWBbwK,2026-03-20,Nurnberg Ice Tigers,Bremerhaven,2,3,final,OddsPortal Avg,away,2.77,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#CCY94GVg,2026-03-20,Schwenninger,Grizzly Wolfsburg,5,1,final,OddsPortal Avg,home,2.08,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#CCY94GVg,2026-03-20,Schwenninger,Grizzly Wolfsburg,5,1,final,OddsPortal Avg,draw,4.40,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#CCY94GVg,2026-03-20,Schwenninger,Grizzly Wolfsburg,5,1,final,OddsPortal Avg,away,3.13,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#4nV16x1s,2026-03-18,Grizzly Wolfsburg,Schwenninger,3,1,final,OddsPortal Avg,home,2.12,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#4nV16x1s,2026-03-18,Grizzly Wolfsburg,Schwenninger,3,1,final,OddsPortal Avg,draw,4.31,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/grizzly-wolfsburg-pjtzLXj0/schwenninger-x8GmLQb2#4nV16x1s,2026-03-18,Grizzly Wolfsburg,Schwenninger,3,1,final,OddsPortal Avg,away,3.17,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/nurnberg-ice-tigers-Qifejgys/pinguins-bremerhaven-vRV0SS63#vs5n4nKD,2026-03-17,Bremerhaven,Nurnberg Ice Tigers,4,0,final,OddsPortal Avg,home,1.84,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/nurnberg-ice-tigers-Qifejgys/pinguins-bremerhaven-vRV0SS63#vs5n4nKD,2026-03-17,Bremerhaven,Nurnberg Ice Tigers,4,0,final,OddsPortal Avg,draw,4.45,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/nurnberg-ice-tigers-Qifejgys/pinguins-bremerhaven-vRV0SS63#vs5n4nKD,2026-03-17,Bremerhaven,Nurnberg Ice Tigers,4,0,final,OddsPortal Avg,away,3.67,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/schwenninger-x8GmLQb2#prFBdXUF,2026-03-15,Adler Mannheim,Schwenninger,4,2,final,OddsPortal Avg,home,1.59,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/schwenninger-x8GmLQb2#prFBdXUF,2026-03-15,Adler Mannheim,Schwenninger,4,2,final,OddsPortal Avg,draw,5.20,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/schwenninger-x8GmLQb2#prFBdXUF,2026-03-15,Adler Mannheim,Schwenninger,4,2,final,OddsPortal Avg,away,5.40,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/augsburger-panther-vsilRsN8/grizzly-wolfsburg-pjtzLXj0#dMYGzj8d,2026-03-15,Augsburger Panther,Grizzly Wolfsburg,5,6,unknown,OddsPortal Avg,home,2.86,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/augsburger-panther-vsilRsN8/grizzly-wolfsburg-pjtzLXj0#dMYGzj8d,2026-03-15,Augsburger Panther,Grizzly Wolfsburg,5,6,unknown,OddsPortal Avg,draw,4.32,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/augsburger-panther-vsilRsN8/grizzly-wolfsburg-pjtzLXj0#dMYGzj8d,2026-03-15,Augsburger Panther,Grizzly Wolfsburg,5,6,unknown,OddsPortal Avg,away,2.24,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/dresdner-eislowen-EmKVR6yG/pinguins-bremerhaven-vRV0SS63#4OgxrYFM,2026-03-15,Bremerhaven,Dresdner Eislowen,6,1,final,OddsPortal Avg,home,1.26,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/dresdner-eislowen-EmKVR6yG/pinguins-bremerhaven-vRV0SS63#4OgxrYFM,2026-03-15,Bremerhaven,Dresdner Eislowen,6,1,final,OddsPortal Avg,draw,7.17,2026-04-07T13:57:39.943163+00:00
