game_id,date,home_team,away_team,score,away_abbr,away_faceoffs,away_hits,away_pim,away_score,away_shots,home_abbr,home_faceoffs,home_hits,home_pim,home_score,home_shots,is_overtime,is_shootout,period_scores
2921983,2025-12-21,BK Mladá Boleslav,HC Energie Karlovy Vary,0:3,KVA,24,6,14,3,23,MBL,28,3,8,0,35,0,0,"0:0, 0:1, 0:2"
2921984,2025-12-21,Mountfield HK,HC Kometa Brno,2:1,KOM,29,4,10,1,22,MHK,21,4,4,2,45,0,0,"0:0, 1:1, 1:0"
2921986,2025-12-21,Bílí Tygři Liberec,Rytíři Kladno,4:1,KLA,19,7,8,1,23,LIB,40,9,6,4,39,0,0,"3:0, 1:0, 0:1"
2921980,2025-12-21,HC Škoda Plzeň,HC Dynamo Pardubice,1:2,PCE,29,5,12,2,31,PLZ,26,6,6,1,22,0,0,"1:1, 0:0, 0:1"
2921982,2025-12-21,HC Olomouc,HC VERVA Litvínov,4:3,LIT,30,3,4,3,32,OLO,33,6,6,4,37,0,0,"1:2, 1:1, 1:0 - 1:0"
2921985,2025-12-21,Č. Budějovice,HC Oceláři Třinec,1:0,TRI,35,3,7,0,25,CEB,24,4,13,1,18,0,0,"1:0, 0:0, 0:0"
2921991,2025-12-23,HC Energie Karlovy Vary,Č. Budějovice,1:0,CEB,29,3,12,0,25,KVA,28,5,8,1,25,0,0,"0:0, 0:0, 1:0"
2921988,2025-12-23,HC VÍTKOVICE RIDERA,Bílí Tygři Liberec,4:1,LIB,29,6,8,1,30,VIT,28,7,4,4,18,0,0,"0:0, 2:1, 2:0"
2921992,2025-12-23,HC VERVA Litvínov,BK Mladá Boleslav,6:1,MBL,28,4,10,1,25,LIT,32,5,8,6,26,0,0,"2:0, 2:1, 2:0"
2921987,2025-12-23,HC Sparta Praha,HC Olomouc,7:2,OLO,26,4,6,2,21,SPA,30,8,4,7,44,0,0,"1:0, 4:1, 2:1"
2921989,2025-12-23,Rytíři Kladno,HC Dynamo Pardubice,0:1,PCE,37,4,8,1,25,KLA,24,4,10,0,27,0,0,"0:0, 0:0, 0:1"
2921990,2025-12-23,HC Kometa Brno,HC Škoda Plzeň,3:2,PLZ,29,4,6,2,31,KOM,25,6,4,3,25,0,0,"1:0, 1:0, 0:2 - 1:0"
