season,round,round_index,team,elo
2025-26,R 23,23,Genève-Servette HC,1504.39
2025-26,R 23,23,HC Ajoie,1395.87
2025-26,R 23,23,HC Ambri-Piotta,1448.22
2025-26,R 23,23,HC Davos,1615.76
2025-26,R 23,23,HC Lugano,1462.61
2025-26,R 23,23,Lausanne HC,1535.75
2025-26,R 23,23,SC Bern,1462.84
2025-26,R 23,23,SC Rapperswil-Jona Lakers,1529.32
2025-26,R 23,23,SCL Tigers,1469.5
2025-26,R 23,23,SCRJ Lakers,1555.35
2025-26,R 23,23,ZSC Lions,1517.68
2025-26,R 24,24,EHC Biel-Bienne,1503.3
2025-26,R 24,24,EHC Kloten,1478.29
2025-26,R 24,24,EV Zug,1501.57
2025-26,R 24,24,Fribourg-Gottéron,1541.33
2025-26,R 24,24,Genève-Servette HC,1489.46
2025-26,R 24,24,HC Ajoie,1385.18
2025-26,R 24,24,HC Ambri-Piotta,1438.01
2025-26,R 24,24,HC Davos,1615.76
2025-26,R 24,24,HC Lugano,1462.61
2025-26,R 24,24,Lausanne HC,1544.19
2025-26,R 24,24,SC Bern,1454.4
2025-26,R 24,24,SC Rapperswil-Jona Lakers,1529.32
2025-26,R 24,24,SCL Tigers,1479.72
2025-26,R 24,24,SCRJ Lakers,1564.82
2025-26,R 24,24,ZSC Lions,1512.06
2025-26,R 25,25,EHC Biel-Bienne,1503.3
2025-26,R 25,25,EHC Kloten,1466.25
2025-26,R 25,25,EV Zug,1501.57
2025-26,R 25,25,Fribourg-Gottéron,1519.08
2025-26,R 25,25,Genève-Servette HC,1493.46
2025-26,R 25,25,HC Ajoie,1385.18
2025-26,R 25,25,HC Ambri-Piotta,1450.04
2025-26,R 25,25,HC Davos,1623.21
2025-26,R 25,25,HC Lugano,1481.71
2025-26,R 25,25,Lausanne HC,1525.09
2025-26,R 25,25,SC Bern,1450.41
2025-26,R 25,25,SC Rapperswil-Jona Lakers,1529.32
2025-26,R 25,25,SCL Tigers,1501.97
2025-26,R 25,25,SCRJ Lakers,1564.82
2025-26,R 25,25,ZSC Lions,1504.61
2025-26,R 26,26,EHC Biel-Bienne,1493.25
2025-26,R 26,26,EHC Kloten,1466.25
2025-26,R 26,26,EV Zug,1511.62
2025-26,R 26,26,Fribourg-Gottéron,1519.08
2025-26,R 26,26,Genève-Servette HC,1493.46
2025-26,R 26,26,HC Ajoie,1379.93
2025-26,R 26,26,HC Ambri-Piotta,1450.04
2025-26,R 26,26,HC Davos,1623.21
2025-26,R 26,26,HC Lugano,1481.71
2025-26,R 26,26,Lausanne HC,1525.09
2025-26,R 26,26,SC Bern,1450.41
2025-26,R 26,26,SC Rapperswil-Jona Lakers,1529.32
2025-26,R 26,26,SCL Tigers,1501.97
2025-26,R 26,26,SCRJ Lakers,1570.06
2025-26,R 26,26,ZSC Lions,1504.61
2025-26,R 27,27,EHC Biel-Bienne,1491.82
2025-26,R 27,27,EHC Kloten,1462.03
2025-26,R 27,27,EV Zug,1498.1
2025-26,R 27,27,Fribourg-Gottéron,1532.6
2025-26,R 27,27,Genève-Servette HC,1497.67
2025-26,R 27,27,HC Ajoie,1393.31
2025-26,R 27,27,HC Ambri-Piotta,1432.15
2025-26,R 27,27,HC Davos,1624.64
2025-26,R 27,27,HC Lugano,1498.69
2025-26,R 27,27,Lausanne HC,1530.21
2025-26,R 27,27,SC Bern,1468.3
2025-26,R 27,27,SC Rapperswil-Jona Lakers,1524.19
2025-26,R 27,27,SCL Tigers,1488.59
2025-26,R 27,27,SCRJ Lakers,1570.06
2025-26,R 27,27,ZSC Lions,1487.63
2025-26,R 28,28,EHC Biel-Bienne,1491.82
